stop_name,week1,week2,improvement
Green Street,431.5,446.6,-15.1
Ruggles,432.04,448.45,-16.41
Massachusetts Avenue,431.97,448.91,-16.94
Jackson Square,432.12,449.09,-16.97
Tufts Medical Center,431.84,448.84,-17.0
Chinatown,431.83,448.9,-17.07
Back Bay,431.8,448.89,-17.09
Wellington,441.35,459.1,-17.75
Roxbury Crossing,431.52,449.66,-18.14
Stony Brook,431.47,449.92,-18.45
North Station,441.6,460.5,-18.9
State,442.14,461.07,-18.93
Assembly,441.06,460.37,-19.31
Haymarket,441.65,461.07,-19.42
Downtown Crossing,440.23,459.93,-19.7
Sullivan Square,440.97,461.01,-20.04
Community College,441.01,461.06,-20.05
Malden Center,435.33,461.42,-26.09
