stop_name,week1,week2,improvement
North Station,678.89,668.96,9.93
Stony Brook,659.46,649.75,9.71
Community College,678.89,669.97,8.92
Sullivan Square,678.89,669.99,8.9
Haymarket,675.54,668.83,6.71
State,675.52,668.81,6.71
Downtown Crossing,673.01,666.95,6.06
Assembly,678.91,673.19,5.72
Wellington,675.51,670.08,5.43
Back Bay,659.94,655.35,4.59
Malden Center,674.59,670.22,4.37
Ruggles,656.59,652.56,4.03
Roxbury Crossing,656.51,652.52,3.99
Green Street,656.26,653.09,3.17
Jackson Square,656.42,653.31,3.11
Chinatown,657.41,655.51,1.9
Massachusetts Avenue,656.67,655.2,1.47
Tufts Medical Center,656.77,655.47,1.3
